id,time,x,y
12,496.615,75.97693172,70.06497819
12,497.615,75.85239558,69.64055753
12,498.615,75.85911364,69.64055763
12,499.615,75.72733631,69.64055566
12,500.615,75.72061825,69.64055556
12,501.615,75.60951821,69.21613511
12,502.616,75.58884725,69.2161348
12,503.616,75.51236472,69.21613366
12,504.616,75.45706992,69.21613284
12,505.616,75.32529258,69.21613088
12,506.616,75.33201064,69.21613098
12,507.616,75.26276924,68.79171116
12,508.616,75.21780991,68.79171049
12,509.617,75.17285058,68.79170983
12,510.617,75.1030861,68.79170879
12,511.617,75.01317371,68.36728867
12,512.617,75.04779129,68.79170797
12,513.617,74.99922082,68.36728846
12,514.617,74.94392601,68.36728764
12,515.618,74.83281961,68.367286
12,516.618,74.8607254,68.36728642
12,517.618,74.83281961,68.367286
12,518.618,74.79096091,68.36728539
12,519.618,74.7356661,68.36728457
12,520.618,74.75633706,68.36728488
12,521.619,74.67313645,68.36728365
12,522.619,74.56203006,68.36728202
12,523.619,74.54859393,68.36728182
12,524.619,74.45815849,68.36728049
12,525.619,74.34705831,67.94286007
12,526.619,74.18789192,67.94285774
12,527.619,74.18789192,67.94285774
12,528.62,74.1046975,67.51843773
12,529.62,73.98635625,67.518436
12,530.62,73.86853795,67.09401549
12,531.62,73.88249085,67.09401569
12,532.62,73.83392026,66.66959619
12,533.62,73.74400156,66.66959488
12,534.621,73.63961935,66.24517457
12,535.621,73.50784193,66.24517266
12,536.621,73.40397647,65.82075236
12,537.621,73.31354098,65.82075105
12,538.621,73.2515342,65.39633136
12,539.621,73.14715192,64.97191106
12,540.622,73.0572393,64.54749097
12,541.622,72.9182331,64.12307018
12,542.622,72.73116686,63.6986487
12,543.622,72.59267739,63.27422792
12,544.622,72.41904722,62.84980665
12,545.622,72.23198089,62.42538519
12,546.622,72.33585257,62.42538667
12,547.623,72.51620689,62.42538925
12,548.623,72.60613174,62.00097174
12,549.623,72.64127849,61.57655345
12,550.623,72.4955541,61.15213257
12,551.623,72.29401802,60.72771091
12,552.623,72.26662896,60.72771052
12,553.624,72.21805818,60.30329103
12,554.624,72.21082937,59.87887214
12,555.624,72.34984179,59.87887412
12,556.624,72.39842468,59.45445602
12,557.624,72.39842468,59.45445602
12,558.624,72.4123776,59.45445622
12,559.625,72.4123776,59.45445622
12,560.625,72.41910173,59.03003753
12,561.625,72.43306071,58.60561894
12,562.625,72.46096656,58.60561933
12,563.625,72.49559654,58.18120104
12,564.625,72.54417339,58.18120173
12,565.625,72.60618639,58.18120262
12,566.626,72.67595709,57.75678483
12,567.626,72.74520494,57.75678582
12,568.626,72.74520494,57.75678582
12,569.626,72.67595709,57.75678483
12,570.626,72.5509036,57.33236425
12,571.626,72.48165574,57.33236326
12,572.627,72.41240788,57.33236227
12,573.627,72.32920709,57.33236109
12,574.627,72.27339538,57.33236029
12,575.627,72.22481853,57.3323596
12,576.627,72.1901946,57.33235911
12,577.627,72.13489967,57.33235832
12,578.627,72.10027573,57.33235783
12,579.628,72.10027573,57.33235783
12,580.628,72.12094674,57.33235812
12,581.628,72.13489967,57.33235832
12,582.628,72.14161774,57.33235842
12,583.628,72.10027573,57.33235783
12,584.628,72.03774595,57.33235694
12,585.629,71.89873346,57.33235497
12,586.629,71.75351966,57.33235291
12,587.629,71.56593031,57.33235026
12,588.629,71.30237502,57.33234655
12,589.629,71.06673153,56.90792446
12,590.629,70.92100095,56.90792242
12,591.63,70.81712915,56.90792097
12,592.63,70.74065235,56.48350112
12,593.63,70.6021566,56.48349919
12,594.63,70.49104994,56.48349764
12,595.63,70.42852604,56.05907798
12,596.63,70.31741937,56.05907644
12,597.63,70.21355343,55.63465622
12,598.631,70.10244675,55.63465468
12,599.631,69.94327997,55.63465249
12,600.631,69.7903145,55.63465038
12,601.631,69.60324186,55.63464781
12,602.631,69.40221629,55.63464506
12,603.631,69.04150139,56.05905892
12,604.632,68.87509978,56.05905666
12,605.632,68.71541624,56.0590545
12,606.632,68.59759149,56.0590529
12,607.632,68.50043775,56.05905159
12,608.632,68.41724267,55.63463168
12,609.632,68.36866579,55.63463103
12,610.633,68.34075993,55.63463065
12,611.633,68.29218306,55.63463
12,612.633,68.2642772,55.63462962
12,613.633,68.22965325,55.63462916
12,614.633,68.19502931,55.63462869
12,615.633,68.18107638,55.6346285
12,616.633,68.1743583,55.63462841
12,617.634,68.18108208,55.21020972
12,618.634,68.19503501,55.2102099
12,619.634,68.20898795,55.21021009
12,620.634,68.19503502,55.2102099
12,621.634,68.18108208,55.21020972
12,622.634,68.174364,55.21020963
12,623.635,68.18108208,55.21020972
12,624.635,68.16041107,55.21020944
12,625.635,68.15369299,55.21020935
12,626.635,68.13974006,55.21020916
12,627.635,68.16041107,55.21020944
12,628.635,68.16764593,55.21020953
12,629.635,68.174364,55.21020963
12,630.636,68.15369299,55.21020935
12,631.636,68.11183419,55.21020879
12,632.636,68.11183419,55.21020879
12,633.636,68.09116318,55.21020851
12,634.636,68.09116318,55.21020851
12,635.636,68.1325052,55.21020906
12,636.637,68.20226987,55.21021
12,637.637,68.2642829,55.21021083
12,638.637,68.34076565,55.21021186
12,639.637,68.25084104,55.63462944
12,640.637,68.33403614,56.05904935
12,641.637,68.45186089,56.05905094
12,642.637,68.56968563,56.05905253
12,643.638,68.58363856,56.05905272
12,644.638,68.69474523,56.05905422
12,645.638,68.77071119,56.05905525
12,646.638,68.82652291,56.059056
12,647.638,68.9024831,56.48347582
12,648.638,68.92367088,56.48347611
12,649.639,68.86114109,56.48347526
12,650.639,68.83994755,56.90789376
12,651.639,68.78465261,56.90789301
12,652.639,68.75002868,56.90789255
